pos,corr_resp,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,fixation.started,line1.started,line2.started,line3.started,line4.started,fixation.stopped,probe.started,key_resp.started,key_resp.keys,key_resp.corr,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,
50,c,11,2,46,2,,,,,144.64913439998054,145.64915739998105,145.64915739998105,145.64915739998105,145.64915739998105,145.64915739998105,146.64872709999327,146.64872709999327,c,1,0.7159187000070233,184249,001,2022-10-05_09h38.16.027,experiment 4,2022.2.2,59.966850331018264,
-150,z,11,3,47,3,,,,,147.3820629999973,148.3821392999962,148.3821392999962,148.3821392999962,148.3821392999962,148.3821392999962,149.3817131999822,149.3817131999822,z,1,0.4157257000042591,184249,001,2022-10-05_09h38.16.027,experiment 4,2022.2.2,59.966850331018264,
-50,x,,,,,0,0,0,0,149.81715589997475,150.8150088999828,150.8150088999828,150.8150088999828,150.8150088999828,150.83150569998543,151.81472719999147,151.81472719999147,x,1,0.6117848999856506,184249,001,2022-10-05_09h38.16.027,experiment 4,2022.2.2,59.966850331018264,
50,c,,,,,0,1,1,2,152.4480407999945,153.44815789998393,153.44815789998393,153.44815789998393,153.44815789998393,153.44815789998393,154.44769499998074,154.44769499998074,c,1,0.88086679999833,184249,001,2022-10-05_09h38.16.027,experiment 4,2022.2.2,59.966850331018264,
50,c,,,,,0,2,2,2,155.34767989997636,156.3477177999739,156.3477177999739,156.3477177999739,156.3477177999739,156.3477177999739,157.3473767999967,157.3473767999967,v,0,0.5475969999970403,184249,001,2022-10-05_09h38.16.027,experiment 4,2022.2.2,59.966850331018264,
-50,x,,,,,0,3,3,0,157.9139954999846,158.91412649999256,158.91412649999256,158.91412649999256,158.91412649999256,158.91412649999256,159.9136911999958,159.9136911999958,x,1,0.47551519999979064,184249,001,2022-10-05_09h38.16.027,experiment 4,2022.2.2,59.966850331018264,
150,v,,,,,1,0,4,1,160.41371569997864,161.41381349999574,161.41381349999574,161.41381349999574,161.41381349999574,161.41381349999574,162.41350329999113,162.41350329999113,v,1,0.6975160000147298,184249,001,2022-10-05_09h38.16.027,experiment 4,2022.2.2,59.966850331018264,
50,c,,,,,1,1,5,2,163.13009469999815,164.13021189998835,164.13021189998835,164.13021189998835,164.13021189998835,164.13021189998835,165.12982009997359,165.12982009997359,c,1,0.8687159999972209,184249,001,2022-10-05_09h38.16.027,experiment 4,2022.2.2,59.966850331018264,
-150,z,,,,,1,2,6,3,166.0296543999866,167.02984659999493,167.02984659999493,167.02984659999493,167.02984659999493,167.02984659999493,168.0292851999984,168.0292851999984,z,1,0.883216199988965,184249,001,2022-10-05_09h38.16.027,experiment 4,2022.2.2,59.966850331018264,
150,v,,,,,1,3,7,1,168.92925869999453,169.92914120000205,169.92914120000205,169.92914120000205,169.92914120000205,169.92914120000205,170.92906179997954,170.92906179997954,v,1,0.5962500000023283,184249,001,2022-10-05_09h38.16.027,experiment 4,2022.2.2,59.966850331018264,
150,v,,,,,2,0,8,1,171.54553730000043,172.5456837999809,172.5456837999809,172.5456837999809,172.5456837999809,172.5456837999809,173.54531109999516,173.54531109999516,v,1,0.6142190999817103,184249,001,2022-10-05_09h38.16.027,experiment 4,2022.2.2,59.966850331018264,
-150,z,,,,,2,1,9,3,174.17862909997348,175.17854329998954,175.17854329998954,175.17854329998954,175.17854329998954,175.17854329998954,176.17827659999602,176.17827659999602,z,1,0.3620859000075143,184249,001,2022-10-05_09h38.16.027,experiment 4,2022.2.2,59.966850331018264,
150,v,,,,,2,2,10,1,176.5616694999917,177.56178170000203,177.56178170000203,177.56178170000203,177.56178170000203,177.56178170000203,178.56134309998015,178.56134309998015,v,1,0.46971070001018234,184249,001,2022-10-05_09h38.16.027,experiment 4,2022.2.2,59.966850331018264,
-150,z,,,,,2,3,11,3,179.06122589998995,180.06144709998625,180.06144709998625,180.06144709998625,180.06144709998625,180.06144709998625,181.06098579999525,181.06098579999525,x,0,0.5209407999936957,184249,001,2022-10-05_09h38.16.027,experiment 4,2022.2.2,59.966850331018264,
-150,z,,,,,3,0,12,3,181.61093209998216,182.61078069999348,182.61078069999348,182.61078069999348,182.61078069999348,182.61078069999348,183.61071670000092,183.61071670000092,z,1,0.5825731999939308,184249,001,2022-10-05_09h38.16.027,experiment 4,2022.2.2,59.966850331018264,
-50,x,,,,,3,1,13,0,184.21058169999742,185.21067999998922,185.21067999998922,185.21067999998922,185.21067999998922,185.21067999998922,186.210336499993,186.210336499993,x,1,0.5036993999965489,184249,001,2022-10-05_09h38.16.027,experiment 4,2022.2.2,59.966850331018264,
150,v,,,,,3,2,14,1,186.74372219998622,187.74443130000145,187.74443130000145,187.74443130000145,187.74443130000145,187.74443130000145,188.74341819999972,188.74341819999972,v,1,0.5884016999916639,184249,001,2022-10-05_09h38.16.027,experiment 4,2022.2.2,59.966850331018264,
150,v,,,,,3,3,15,1,189.35999469997478,190.35977559999446,190.35977559999446,190.35977559999446,190.35977559999446,190.35977559999446,191.3597759999975,191.3597759999975,v,1,0.6780920999881346,184249,001,2022-10-05_09h38.16.027,experiment 4,2022.2.2,59.966850331018264,
-50,x,,,,,4,0,16,0,192.05956049999804,193.0598622999969,193.0598622999969,193.0598622999969,193.0598622999969,193.0598622999969,194.05949429998873,194.05949429998873,x,1,1.0935230999893975,184249,001,2022-10-05_09h38.16.027,experiment 4,2022.2.2,59.966850331018264,
-150,z,,,,,4,1,17,3,195.17579769997974,196.17594159999862,196.17594159999862,196.17594159999862,196.17594159999862,196.17594159999862,197.1757956999936,197.1757956999936,z,1,0.616163200000301,184249,001,2022-10-05_09h38.16.027,experiment 4,2022.2.2,59.966850331018264,
150,v,,,,,4,2,18,1,197.8093716999865,198.8089815999847,198.8089815999847,198.8089815999847,198.8089815999847,198.8089815999847,199.80859469997813,199.80859469997813,v,1,0.6298090000054799,184249,001,2022-10-05_09h38.16.027,experiment 4,2022.2.2,59.966850331018264,
-150,z,,,,,4,3,19,3,200.45860839998932,201.45836179997423,201.45836179997423,201.45836179997423,201.45836179997423,201.45836179997423,202.4584640999965,202.4584640999965,z,1,0.7121674999943934,184249,001,2022-10-05_09h38.16.027,experiment 4,2022.2.2,59.966850331018264,
50,c,,,,,5,0,20,2,203.19142550000106,204.19160009999177,204.19160009999177,204.19160009999177,204.19160009999177,204.19160009999177,205.19122269999934,205.19122269999934,c,1,0.8321898999856785,184249,001,2022-10-05_09h38.16.027,experiment 4,2022.2.2,59.966850331018264,
50,c,,,,,5,1,21,2,206.04117169999518,207.04115829998045,207.04115829998045,207.04115829998045,207.04115829998045,207.04115829998045,208.0409229999932,208.0409229999932,c,1,0.5382591999950819,184249,001,2022-10-05_09h38.16.027,experiment 4,2022.2.2,59.966850331018264,
-50,x,,,,,5,2,22,0,208.60757799999556,209.6077509999741,209.6077509999741,209.6077509999741,209.6077509999741,209.6077509999741,210.6072202999785,210.6072202999785,x,1,0.6613973999919835,184249,001,2022-10-05_09h38.16.027,experiment 4,2022.2.2,59.966850331018264,
-150,z,,,,,5,3,23,3,211.2904510999797,212.29053810000187,212.29053810000187,212.29053810000187,212.29053810000187,212.29053810000187,213.29024839997874,213.29024839997874,z,1,0.677807500003837,184249,001,2022-10-05_09h38.16.027,experiment 4,2022.2.2,59.966850331018264,
150,v,,,,,6,0,24,1,213.99017919998732,214.9901737999753,214.9901737999753,214.9901737999753,214.9901737999753,214.9901737999753,215.98999380000168,215.98999380000168,v,1,0.5989209999970626,184249,001,2022-10-05_09h38.16.027,experiment 4,2022.2.2,59.966850331018264,
150,v,,,,,6,1,25,1,216.60655939998105,217.60653619997902,217.60653619997902,217.60653619997902,217.60653619997902,217.60653619997902,218.60631179998745,218.60631179998745,v,1,0.4952623000135645,184249,001,2022-10-05_09h38.16.027,experiment 4,2022.2.2,59.966850331018264,
-150,z,,,,,6,2,26,3,219.12289929998224,220.1228799999808,220.1228799999808,220.1228799999808,220.1228799999808,220.1228799999808,221.12263669999084,221.12263669999084,z,1,0.5816884000087157,184249,001,2022-10-05_09h38.16.027,experiment 4,2022.2.2,59.966850331018264,
50,c,,,,,6,3,27,2,221.72254950000206,222.72260979999555,222.72260979999555,222.72260979999555,222.72260979999555,222.72260979999555,223.7222277999972,223.7222277999972,v,0,0.5928598000027705,184249,001,2022-10-05_09h38.16.027,experiment 4,2022.2.2,59.966850331018264,
-50,x,,,,,7,0,28,0,224.33893469997565,225.339030299976,225.339030299976,225.339030299976,225.339030299976,225.339030299976,226.33852739998838,226.33852739998838,x,1,0.9432709999964572,184249,001,2022-10-05_09h38.16.027,experiment 4,2022.2.2,59.966850331018264,
50,c,,,,,7,1,29,2,227.30515020000166,228.30536030000076,228.30536030000076,228.30536030000076,228.30536030000076,228.30536030000076,229.30489829997532,229.30489829997532,c,1,1.0612542000017129,184249,001,2022-10-05_09h38.16.027,experiment 4,2022.2.2,59.966850331018264,
-150,z,,,,,7,2,30,3,230.38798049997422,231.38816309999675,231.38816309999675,231.38816309999675,231.38816309999675,231.38816309999675,232.38791659998242,232.38791659998242,z,1,0.7692569000064395,184249,001,2022-10-05_09h38.16.027,experiment 4,2022.2.2,59.966850331018264,
-50,x,,,,,7,3,31,0,233.18768569998792,234.18780439998955,234.18780439998955,234.18780439998955,234.18780439998955,234.18780439998955,235.18749369998113,235.18749369998113,x,1,0.8844639000017196,184249,001,2022-10-05_09h38.16.027,experiment 4,2022.2.2,59.966850331018264,
50,c,,,,,8,0,32,2,236.10398590000113,237.10403999997652,237.10403999997652,237.10403999997652,237.10403999997652,237.10403999997652,238.1036713999929,238.1036713999929,c,1,0.3997119000123348,184249,001,2022-10-05_09h38.16.027,experiment 4,2022.2.2,59.966850331018264,
150,v,,,,,8,1,33,1,238.52028859997517,239.5204199999862,239.5204199999862,239.5204199999862,239.5204199999862,239.5204199999862,240.5200579999946,240.5200579999946,v,1,0.6636801999993622,184249,001,2022-10-05_09h38.16.027,experiment 4,2022.2.2,59.966850331018264,
-150,z,,,,,8,2,34,3,241.20331339997938,242.20337839997956,242.20337839997956,242.20337839997956,242.20337839997956,242.20337839997956,243.20308349997504,243.20308349997504,z,1,0.9810203000088222,184249,001,2022-10-05_09h38.16.027,experiment 4,2022.2.2,59.966850331018264,
-150,z,,,,,8,3,35,3,244.20291839999845,245.2029500999779,245.2029500999779,245.2029500999779,245.2029500999779,245.2029500999779,246.20265419999487,246.20265419999487,z,1,0.636704499978805,184249,001,2022-10-05_09h38.16.027,experiment 4,2022.2.2,59.966850331018264,
-50,x,,,,,9,0,36,0,246.86936689997674,247.869526399998,247.869526399998,247.869526399998,247.869526399998,247.869526399998,248.86920679998002,248.86920679998002,x,1,0.8027561999915633,184249,001,2022-10-05_09h38.16.027,experiment 4,2022.2.2,59.966850331018264,
50,c,,,,,9,1,37,2,249.70226369999,250.70228709999355,250.70228709999355,250.70228709999355,250.70228709999355,250.70228709999355,251.70202769999742,251.70202769999742,c,1,1.514595599990571,184249,001,2022-10-05_09h38.16.027,experiment 4,2022.2.2,59.966850331018264,
150,v,,,,,9,2,38,1,253.23519300000044,254.23529419998522,254.23529419998522,254.23529419998522,254.23529419998522,254.23529419998522,255.23487049998948,255.23487049998948,v,1,0.642171799991047,184249,001,2022-10-05_09h38.16.027,experiment 4,2022.2.2,59.966850331018264,
50,c,,,,,9,3,39,2,255.90142079998623,256.90214879999985,256.90214879999985,256.90214879999985,256.90214879999985,256.90214879999985,257.90122899998096,257.90122899998096,c,1,1.1095345999929123,184249,001,2022-10-05_09h38.16.027,experiment 4,2022.2.2,59.966850331018264,
-50,x,,,,,10,0,40,0,259.0343207999831,260.03453359997366,260.03453359997366,260.03453359997366,260.03453359997366,260.03453359997366,261.03405889999704,261.03405889999704,x,1,0.6825861999823246,184249,001,2022-10-05_09h38.16.027,experiment 4,2022.2.2,59.966850331018264,
-50,x,,,,,10,1,41,0,261.7340843999991,262.7341379999998,262.7341379999998,262.7341379999998,262.7341379999998,262.7341379999998,263.7337263999798,263.7337263999798,x,1,0.5830249999999069,184249,001,2022-10-05_09h38.16.027,experiment 4,2022.2.2,59.966850331018264,
150,v,,,,,10,2,42,1,264.33364119997714,265.33385249998537,265.33385249998537,265.33385249998537,265.33385249998537,265.33385249998537,266.3335000999796,266.3335000999796,v,1,0.7399280000245199,184249,001,2022-10-05_09h38.16.027,experiment 4,2022.2.2,59.966850331018264,
-150,z,,,,,10,3,43,3,267.10006689999136,268.1000499999791,268.1000499999791,268.1000499999791,268.1000499999791,268.1000499999791,269.0997810999979,269.0997810999979,z,1,0.6129692000104114,184249,001,2022-10-05_09h38.16.027,experiment 4,2022.2.2,59.966850331018264,
50,c,,,,,11,0,44,2,269.7331162999908,270.7330976999947,270.7330976999947,270.7330976999947,270.7330976999947,270.7330976999947,271.73274389997823,271.73274389997823,v,0,0.5432670000009239,184249,001,2022-10-05_09h38.16.027,experiment 4,2022.2.2,59.966850331018264,
-50,x,,,,,11,1,45,0,272.2995219999866,273.2994034999865,273.2994034999865,273.2994034999865,273.2994034999865,273.2994034999865,274.2992417999776,274.2992417999776,x,1,0.8451856999890879,184249,001,2022-10-05_09h38.16.027,experiment 4,2022.2.2,59.966850331018264,
-50,x,,,,,11,2,46,0,275.1657369999739,276.1657915999822,276.1657915999822,276.1657915999822,276.1657915999822,276.1657915999822,277.16535209998256,277.16535209998256,x,1,0.46894769999198616,184249,001,2022-10-05_09h38.16.027,experiment 4,2022.2.2,59.966850331018264,
50,c,,,,,11,3,47,2,277.66528149999795,278.6655069999979,278.6655069999979,278.6655069999979,278.6655069999979,278.6655069999979,279.6651144999778,279.6651144999778,c,1,0.7765340999758337,184249,001,2022-10-05_09h38.16.027,experiment 4,2022.2.2,59.966850331018264,
